"sample","compounds","TRset","ncarbon_umole_cm2","tCO_umole_cm2","naCO_umole_cm2","cCOH_umole_cm2","COOH_umole_cm2","aCH_umole_cm2","aCOH_umole_cm2","Ester_umole_cm2","Ketone_umole_cm2","AmmNH_umole_cm2"
"01281","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.918163332883455
"01282","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.938744827269212
"01283","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,1.14784709314858
"01284","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.31478588094548
"01285","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.54518427643236
"01286","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,1.66510006663922
"01287","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.73656358881251
"01288","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.91793800808879
"01289","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,2.13990370795918
"01290","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,2.30655664166713
"01291","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,2.26067706043214
"01292","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,2.54890373806158
"01293","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,2.74397056818594
"01294","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,2.92234351953073
"01295","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,2.96933793171197
"01296","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,3.06921535030143
"01297","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,3.39408852210161
"01298","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.14907290725358
"01299","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.0360176151753502
"01300","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.30600680194649
"01301","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.427637716685321
"01302","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.550554974823557
"01303","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.774664580359094
"01304","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.860992515144577
"01305","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.23003014364799
"01306","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.19098247513234
"01307","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,1.40297186730741
"01308","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.53446474810625
"01309","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,3.41023927811271
"01310","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,3.58975564581215
"01311","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,3.65550208621152
"01312","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,3.79042521607493
"01313","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,3.96651133471018
"01314","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,4.17975848487538
"01315","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,4.80806577182371
"01316","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,6.12585312070019
"01317","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,7.71977551925496
"01324","12-Tricosanone","calibration",0.118342467337233,0.00514532466683615,0.00514532466683623,0,0,0.236684934674466,0,0,0.00514532466683623,0
"01326","12-Tricosanone","test",0.6162467506466,0.0267933369846344,0.0267933369846347,0,0,1.2324935012932,0,0,0.0267933369846347,0
"01327","12-Tricosanone","calibration",1.10308649432664,0.0479602823620281,0.0479602823620279,0,0,2.20617298865328,0,0,0.0479602823620279,0
"01328","12-Tricosanone","calibration",1.75589433244328,0.0763432318453595,0.0763432318453598,0,0,3.51178866488654,0,0,0.0763432318453598,0
"01329","12-Tricosanone","test",1.10020009268431,0.0478347866384482,0.0478347866384482,0,0,2.20040018536862,0,0,0.0478347866384482,0
"01330","12-Tricosanone","calibration",1.37937927376041,0.0599730119026271,0.0599730119026268,0,0,2.75875854752083,0,0,0.0599730119026268,0
